,name,CEFR,Error_type
0,2014_AAl_10_1.txt,B2+,Articles
1,2014_AAl_10_1.txt,B2+,Agreement
2,2014_AAl_10_1.txt,B2+,Spelling
3,2014_AAl_10_1.txt,B2+,Spelling
4,2014_AAl_10_1.txt,B2+,Articles
5,2014_AAl_10_1.txt,B2+,Choice of lexical item
6,2014_AAl_10_1.txt,B2+,Absence of necessary explanation or detail
7,2014_AAl_10_1.txt,B2+,Choice of lexical item
8,2014_AAl_10_1.txt,B2+,Articles
9,2014_AAl_10_1.txt,B2+,Absence of necessary explanation or detail
10,2014_AAl_10_1.txt,B2+,Choice of tense
11,2014_AAl_10_1.txt,B2+,Referential device
12,2014_AAl_10_1.txt,B2+,Articles
13,2014_AAl_10_1.txt,B2+,Choice of lexical item
14,2014_AAl_10_1.txt,B2+,Absence of necessary explanation or detail
15,2014_AAl_10_1.txt,B2+,Infinitive construction
16,2014_AAl_10_1.txt,B2+,Choice of tense
17,2014_AAl_10_1.txt,B2+,Choice of tense
18,2014_AAl_10_1.txt,B2+,Word choice
19,2014_AAl_10_1.txt,B2+,Referential device
20,2014_AAl_10_1.txt,B2+,Articles
21,2014_AAl_10_1.txt,B2+,Choice of lexical item
22,2014_AAl_10_1.txt,B2+,Articles
23,2014_AAl_10_1.txt,B2+,Articles
24,2014_AAl_10_1.txt,B2+,Punctuation
25,2014_AAl_10_1.txt,B2+,Redundant component in clause or sentence
26,2014_AAl_10_1.txt,B2+,Redundant component in clause or sentence
27,2014_AAl_10_1.txt,B2+,Derivational affixes
28,2014_AAl_10_1.txt,B2+,Redundant component in clause or sentence
160,2014_AAl_14_1.txt,B2+,Tense form
161,2014_AAl_14_1.txt,B2+,Articles
162,2014_AAl_14_1.txt,B2+,Possessive form of a noun
163,2014_AAl_14_1.txt,B2+,Derivational affixes
164,2014_AAl_14_1.txt,B2+,Derivational affixes
165,2014_AAl_14_1.txt,B2+,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
166,2014_AAl_14_1.txt,B2+,Redundant component in clause or sentence
167,2014_AAl_14_1.txt,B2+,Redundant component in clause or sentence
168,2014_AAl_14_1.txt,B2+,Confusion of categories
186,2014_AAl_15_1.txt,B1+,Word order
187,2014_AAl_15_1.txt,B1+,Confusion of structures
188,2014_AAl_15_1.txt,B1+,Redundant component in clause or sentence
189,2014_AAl_15_1.txt,B1+,Redundant component in clause or sentence
190,2014_AAl_15_1.txt,B1+,Choice of lexical item
191,2014_AAl_15_1.txt,B1+,Spelling
192,2014_AAl_15_1.txt,B1+,Articles
193,2014_AAl_15_1.txt,B1+,Word order
194,2014_AAl_15_1.txt,B1+,Choice of tense
195,2014_AAl_15_1.txt,B1+,Punctuation
196,2014_AAl_15_1.txt,B1+,Relative clauses
197,2014_AAl_15_1.txt,B1+,Choice of lexical item
198,2014_AAl_15_1.txt,B1+,Noun number
199,2014_AAl_15_1.txt,B1+,Choice of tense
200,2014_AAl_15_1.txt,B1+,Absence of necessary explanation or detail
201,2014_AAl_15_1.txt,B1+,Prepositions
202,2014_AAl_15_1.txt,B1+,Confusion of categories
203,2014_AAl_15_1.txt,B1+,Choice of lexical item
204,2014_AAl_15_1.txt,B1+,Choice of tense
205,2014_AAl_15_1.txt,B1+,Articles
206,2014_AAl_15_1.txt,B1+,Articles
207,2014_AAl_15_1.txt,B1+,Choice of tense
208,2014_AAl_15_1.txt,B1+,Choice of tense
209,2014_AAl_15_1.txt,B1+,Confusion of structures
210,2014_AAl_15_1.txt,B1+,Spelling
211,2014_AAl_15_1.txt,B1+,Articles
212,2014_AAl_15_1.txt,B1+,Spelling
213,2014_AAl_15_1.txt,B1+,Confusion of categories
214,2014_AAl_15_1.txt,B1+,Punctuation
215,2014_AAl_15_1.txt,B1+,Articles
216,2014_AAl_15_1.txt,B1+,Choice of tense
217,2014_AAl_15_1.txt,B1+,Confusion of categories
218,2014_AAl_15_1.txt,B1+,Redundant component in clause or sentence
219,2014_AAl_15_1.txt,B1+,Articles
220,2014_AAl_15_1.txt,B1+,Tense form
221,2014_AAl_15_1.txt,B1+,Absence of necessary explanation or detail
222,2014_AAl_15_1.txt,B1+,Confusion of categories
238,2014_AAl_16_1.txt,B1+,Absence of necessary explanation or detail
239,2014_AAl_16_1.txt,B1+,Choice of tense
240,2014_AAl_16_1.txt,B1+,Relative clauses
241,2014_AAl_16_1.txt,B1+,Prepositions
242,2014_AAl_16_1.txt,B1+,Noun number
243,2014_AAl_16_1.txt,B1+,Voice
244,2014_AAl_16_1.txt,B1+,Articles
245,2014_AAl_16_1.txt,B1+,Choice of lexical item
246,2014_AAl_16_1.txt,B1+,Articles
247,2014_AAl_16_1.txt,B1+,Punctuation
248,2014_AAl_16_1.txt,B1+,Word order
249,2014_AAl_16_1.txt,B1+,Articles
250,2014_AAl_16_1.txt,B1+,Agreement
251,2014_AAl_16_1.txt,B1+,Absence of a component in clause or sentence
252,2014_AAl_16_1.txt,B1+,Spelling
253,2014_AAl_16_1.txt,B1+,Confusion of categories
254,2014_AAl_16_1.txt,B1+,Tense form
255,2014_AAl_16_1.txt,B1+,Absence of a component in clause or sentence
256,2014_AAl_16_1.txt,B1+,Choice of lexical item
257,2014_AAl_16_1.txt,B1+,Agreement
258,2014_AAl_16_1.txt,B1+,Redundant component in clause or sentence
259,2014_AAl_16_1.txt,B1+,Spelling
260,2014_AAl_16_1.txt,B1+,"Change, addition, deletion of a part of collocation"
261,2014_AAl_16_1.txt,B1+,Absence of a component in clause or sentence
262,2014_AAl_16_1.txt,B1+,Choice of lexical item
263,2014_AAl_16_1.txt,B1+,Articles
264,2014_AAl_16_1.txt,B1+,Choice of lexical item
265,2014_AAl_16_1.txt,B1+,Spelling
266,2014_AAl_16_1.txt,B1+,Spelling
267,2014_AAl_16_1.txt,B1+,Redundant component in clause or sentence
268,2014_AAl_16_1.txt,B1+,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
280,2014_AAl_17_1.txt,B1+,Pronouns
281,2014_AAl_17_1.txt,B1+,Spelling
282,2014_AAl_17_1.txt,B1+,Redundant component in clause or sentence
283,2014_AAl_17_1.txt,B1+,Choice of lexical item
284,2014_AAl_17_1.txt,B1+,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
285,2014_AAl_17_1.txt,B1+,Articles
286,2014_AAl_17_1.txt,B1+,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
287,2014_AAl_17_1.txt,B1+,Choice of lexical item
288,2014_AAl_17_1.txt,B1+,Articles
289,2014_AAl_17_1.txt,B1+,Verb pattern
290,2014_AAl_17_1.txt,B1+,Choice of lexical item
291,2014_AAl_17_1.txt,B1+,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
292,2014_AAl_17_1.txt,B1+,Spelling
326,2014_AAl_18_1.txt,B2+,Spelling
327,2014_AAl_18_1.txt,B2+,Spelling
328,2014_AAl_18_1.txt,B2+,Word choice
329,2014_AAl_18_1.txt,B2+,Articles
330,2014_AAl_18_1.txt,B2+,Confusion of categories
331,2014_AAl_18_1.txt,B2+,Derivational affixes
332,2014_AAl_18_1.txt,B2+,Parallel constructions
333,2014_AAl_18_1.txt,B2+,Confusion of categories
334,2014_AAl_18_1.txt,B2+,Comparative construction
335,2014_AAl_18_1.txt,B2+,Word order
336,2014_AAl_18_1.txt,B2+,Referential device
337,2014_AAl_18_1.txt,B2+,Spelling
338,2014_AAl_18_1.txt,B2+,Confusion of categories
339,2014_AAl_18_1.txt,B2+,Choice of lexical item
340,2014_AAl_18_1.txt,B2+,Confusion of categories
341,2014_AAl_18_1.txt,B2+,Word choice
342,2014_AAl_18_1.txt,B2+,Comparative construction
343,2014_AAl_18_1.txt,B2+,Absence of necessary explanation or detail
344,2014_AAl_18_1.txt,B2+,Coherence
345,2014_AAl_18_1.txt,B2+,Absence of necessary explanation or detail
346,2014_AAl_18_1.txt,B2+,Word choice
347,2014_AAl_18_1.txt,B2+,Redundant component in clause or sentence
348,2014_AAl_18_1.txt,B2+,Spelling
349,2014_AAl_18_1.txt,B2+,Word choice
358,2014_AAl_19_1.txt,B2+,Numerals
359,2014_AAl_19_1.txt,B2+,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
360,2014_AAl_19_1.txt,B2+,Numerals
361,2014_AAl_19_1.txt,B2+,Word choice
362,2014_AAl_19_1.txt,B2+,Numerals
363,2014_AAl_19_1.txt,B2+,Choice of lexical item
364,2014_AAl_19_1.txt,B2+,Agreement
365,2014_AAl_19_1.txt,B2+,Agreement
366,2014_AAl_19_1.txt,B2+,Articles
367,2014_AAl_19_1.txt,B2+,Numerals
368,2014_AAl_19_1.txt,B2+,Choice of lexical item
369,2014_AAl_19_1.txt,B2+,Prepositions
433,2014_AAl_1_1.txt,B1+,Redundant component in clause or sentence
434,2014_AAl_1_1.txt,B1+,Spelling
435,2014_AAl_1_1.txt,B1+,Spelling
436,2014_AAl_1_1.txt,B1+,Redundant component in clause or sentence
437,2014_AAl_1_1.txt,B1+,Spelling
438,2014_AAl_1_1.txt,B1+,Absence of a component in clause or sentence
439,2014_AAl_1_1.txt,B1+,Spelling
440,2014_AAl_1_1.txt,B1+,Spelling
441,2014_AAl_1_1.txt,B1+,Spelling
442,2014_AAl_1_1.txt,B1+,Confusion of categories
443,2014_AAl_1_1.txt,B1+,Articles
444,2014_AAl_1_1.txt,B1+,Determiners
445,2014_AAl_1_1.txt,B1+,Spelling
446,2014_AAl_1_1.txt,B1+,Spelling
447,2014_AAl_1_1.txt,B1+,Word order
448,2014_AAl_1_1.txt,B1+,Articles
449,2014_AAl_1_1.txt,B1+,Agreement
450,2014_AAl_1_1.txt,B1+,Articles
451,2014_AAl_1_1.txt,B1+,Articles
452,2014_AAl_1_1.txt,B1+,Word order
453,2014_AAl_1_1.txt,B1+,Absence of necessary explanation or detail
454,2014_AAl_1_1.txt,B1+,Choice of lexical item
455,2014_AAl_1_1.txt,B1+,Choice of tense
456,2014_AAl_1_1.txt,B1+,Prepositions
457,2014_AAl_1_1.txt,B1+,Choice of lexical item
458,2014_AAl_1_1.txt,B1+,Articles
459,2014_AAl_1_1.txt,B1+,Prepositions
460,2014_AAl_1_1.txt,B1+,Articles
461,2014_AAl_1_1.txt,B1+,Agreement
462,2014_AAl_1_1.txt,B1+,Articles
463,2014_AAl_1_1.txt,B1+,Articles
464,2014_AAl_1_1.txt,B1+,Articles
465,2014_AAl_1_1.txt,B1+,Articles
466,2014_AAl_1_1.txt,B1+,Noun number
467,2014_AAl_1_1.txt,B1+,Articles
468,2014_AAl_1_1.txt,B1+,Articles
469,2014_AAl_1_1.txt,B1+,Determiners
470,2014_AAl_1_1.txt,B1+,Spelling
471,2014_AAl_1_1.txt,B1+,Voice
472,2014_AAl_1_1.txt,B1+,Spelling
473,2014_AAl_1_1.txt,B1+,Articles
474,2014_AAl_1_1.txt,B1+,Prepositional noun
475,2014_AAl_1_1.txt,B1+,Articles
476,2014_AAl_1_1.txt,B1+,Choice of tense
477,2014_AAl_1_1.txt,B1+,Articles
478,2014_AAl_1_1.txt,B1+,Punctuation
479,2014_AAl_1_1.txt,B1+,Articles
480,2014_AAl_1_1.txt,B1+,Choice of tense
481,2014_AAl_1_1.txt,B1+,Voice
482,2014_AAl_1_1.txt,B1+,Choice of lexical item
483,2014_AAl_1_1.txt,B1+,Confusion of categories
484,2014_AAl_1_1.txt,B1+,Choice of tense
485,2014_AAl_1_1.txt,B1+,Choice of tense
486,2014_AAl_1_1.txt,B1+,Absence of a component in clause or sentence
487,2014_AAl_1_1.txt,B1+,Choice of tense
488,2014_AAl_1_1.txt,B1+,Confusion of categories
489,2014_AAl_1_1.txt,B1+,Spelling
490,2014_AAl_1_1.txt,B1+,Absence of necessary explanation or detail
491,2014_AAl_1_1.txt,B1+,Prepositions
492,2014_AAl_1_1.txt,B1+,Absence of necessary explanation or detail
493,2014_AAl_1_1.txt,B1+,Word order
494,2014_AAl_1_1.txt,B1+,Absence of necessary explanation or detail
495,2014_AAl_1_1.txt,B1+,Absence of necessary explanation or detail
496,2014_AAl_1_1.txt,B1+,Articles
497,2014_AAl_1_1.txt,B1+,Articles
498,2014_AAl_1_1.txt,B1+,Derivational affixes
499,2014_AAl_1_1.txt,B1+,Punctuation
500,2014_AAl_1_1.txt,B1+,Choice of tense
501,2014_AAl_1_1.txt,B1+,Choice of lexical item
502,2014_AAl_1_1.txt,B1+,Derivational affixes
563,2014_AAl_20_1.txt,B1,Spelling
564,2014_AAl_20_1.txt,B1,Redundant component in clause or sentence
565,2014_AAl_20_1.txt,B1,Redundant component in clause or sentence
566,2014_AAl_20_1.txt,B1,Redundant component in clause or sentence
567,2014_AAl_20_1.txt,B1,Spelling
568,2014_AAl_20_1.txt,B1,Word order
569,2014_AAl_20_1.txt,B1,Choice of lexical item
570,2014_AAl_20_1.txt,B1,Choice of tense
571,2014_AAl_20_1.txt,B1,Prepositions
572,2014_AAl_20_1.txt,B1,Prepositions
573,2014_AAl_20_1.txt,B1,"Change, addition, deletion of a part of collocation"
574,2014_AAl_20_1.txt,B1,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
575,2014_AAl_20_1.txt,B1,Articles
576,2014_AAl_20_1.txt,B1,Articles
577,2014_AAl_20_1.txt,B1,Articles
627,2014_AAl_21_1.txt,B1+,Articles
628,2014_AAl_21_1.txt,B1+,Spelling
629,2014_AAl_21_1.txt,B1+,Agreement
630,2014_AAl_21_1.txt,B1+,Spelling
631,2014_AAl_21_1.txt,B1+,"Change, addition, deletion of a part of collocation"
632,2014_AAl_21_1.txt,B1+,Articles
633,2014_AAl_21_1.txt,B1+,Word order
634,2014_AAl_21_1.txt,B1+,Articles
635,2014_AAl_21_1.txt,B1+,Word order
636,2014_AAl_21_1.txt,B1+,Absence of a component in clause or sentence
637,2014_AAl_21_1.txt,B1+,Absence of a component in clause or sentence
638,2014_AAl_21_1.txt,B1+,"Change, addition, deletion of a part of collocation"
639,2014_AAl_21_1.txt,B1+,Articles
640,2014_AAl_21_1.txt,B1+,Absence of a component in clause or sentence
641,2014_AAl_21_1.txt,B1+,"Change, addition, deletion of a part of collocation"
642,2014_AAl_21_1.txt,B1+,Absence of necessary explanation or detail
643,2014_AAl_21_1.txt,B1+,Articles
644,2014_AAl_21_1.txt,B1+,Articles
690,2014_AAl_22_1.txt,B1+,Spelling
691,2014_AAl_22_1.txt,B1+,Choice of tense
692,2014_AAl_22_1.txt,B1+,Spelling
693,2014_AAl_22_1.txt,B1+,Spelling
694,2014_AAl_22_1.txt,B1+,Articles
695,2014_AAl_22_1.txt,B1+,Articles
696,2014_AAl_22_1.txt,B1+,Articles
697,2014_AAl_22_1.txt,B1+,Articles
698,2014_AAl_22_1.txt,B1+,Articles
699,2014_AAl_22_1.txt,B1+,Articles
700,2014_AAl_22_1.txt,B1+,Linking device
701,2014_AAl_22_1.txt,B1+,Articles
702,2014_AAl_22_1.txt,B1+,Spelling
703,2014_AAl_22_1.txt,B1+,Articles
704,2014_AAl_22_1.txt,B1+,Choice of lexical item
705,2014_AAl_22_1.txt,B1+,Referential device
706,2014_AAl_22_1.txt,B1+,Numerals
707,2014_AAl_22_1.txt,B1+,Choice of tense
708,2014_AAl_22_1.txt,B1+,Prepositions
709,2014_AAl_22_1.txt,B1+,Choice of tense
710,2014_AAl_22_1.txt,B1+,Confusion of categories
711,2014_AAl_22_1.txt,B1+,Punctuation
712,2014_AAl_22_1.txt,B1+,Articles
713,2014_AAl_22_1.txt,B1+,Choice of tense
714,2014_AAl_22_1.txt,B1+,ÐšÐ¾Ð¼Ð¼ÐµÐ½Ñ‚Ð°Ñ€Ð¸Ð¹
715,2014_AAl_22_1.txt,B1+,Choice of tense
716,2014_AAl_22_1.txt,B1+,Choice of tense
717,2014_AAl_22_1.txt,B1+,Articles
718,2014_AAl_22_1.txt,B1+,Infinitive construction
719,2014_AAl_22_1.txt,B1+,Absence of necessary explanation or detail
