,name,CEFR,Error_type
29,2014_AAl_11_2.txt,B1,Redundant component in clause or sentence
30,2014_AAl_11_2.txt,B1,Prepositions
31,2014_AAl_11_2.txt,B1,Redundant component in clause or sentence
32,2014_AAl_11_2.txt,B1,Redundant component in clause or sentence
33,2014_AAl_11_2.txt,B1,Choice of lexical item
34,2014_AAl_11_2.txt,B1,Spelling
35,2014_AAl_11_2.txt,B1,Choice of lexical item
36,2014_AAl_11_2.txt,B1,Redundant component in clause or sentence
37,2014_AAl_11_2.txt,B1,Spelling
38,2014_AAl_11_2.txt,B1,Spelling
39,2014_AAl_11_2.txt,B1,Punctuation
40,2014_AAl_11_2.txt,B1,Confusion of structures
41,2014_AAl_11_2.txt,B1,Word order
42,2014_AAl_11_2.txt,B1,Choice of tense
43,2014_AAl_11_2.txt,B1,Verb pattern
44,2014_AAl_11_2.txt,B1,Articles
45,2014_AAl_11_2.txt,B1,Articles
46,2014_AAl_11_2.txt,B1,Absence of a component in clause or sentence
47,2014_AAl_11_2.txt,B1,Word choice
48,2014_AAl_11_2.txt,B1,Spelling
49,2014_AAl_11_2.txt,B1,Degree of comparison
50,2014_AAl_11_2.txt,B1,Modals
51,2014_AAl_11_2.txt,B1,Spelling
52,2014_AAl_11_2.txt,B1,Choice of lexical item
53,2014_AAl_11_2.txt,B1,Articles
54,2014_AAl_11_2.txt,B1,Articles
55,2014_AAl_11_2.txt,B1,Spelling
56,2014_AAl_11_2.txt,B1,Punctuation
57,2014_AAl_11_2.txt,B1,Absence of a component in clause or sentence
58,2014_AAl_11_2.txt,B1,Noun number
59,2014_AAl_11_2.txt,B1,Confusion of categories
60,2014_AAl_11_2.txt,B1,Spelling
61,2014_AAl_11_2.txt,B1,Conjunctions
62,2014_AAl_11_2.txt,B1,Confusion of categories
63,2014_AAl_11_2.txt,B1,Spelling
64,2014_AAl_11_2.txt,B1,Conjunctions
65,2014_AAl_11_2.txt,B1,Articles
66,2014_AAl_11_2.txt,B1,Confusion of categories
67,2014_AAl_11_2.txt,B1,Determiners
68,2014_AAl_11_2.txt,B1,Relative clauses
69,2014_AAl_11_2.txt,B1,Articles
70,2014_AAl_11_2.txt,B1,Choice of lexical item
71,2014_AAl_11_2.txt,B1,Punctuation
72,2014_AAl_11_2.txt,B1,Confusion of categories
73,2014_AAl_11_2.txt,B1,Agreement
74,2014_AAl_11_2.txt,B1,Punctuation
75,2014_AAl_11_2.txt,B1,Modals
76,2014_AAl_11_2.txt,B1,Parallel constructions
77,2014_AAl_11_2.txt,B1,Articles
78,2014_AAl_11_2.txt,B1,Articles
79,2014_AAl_11_2.txt,B1,Spelling
80,2014_AAl_11_2.txt,B1,Agreement
81,2014_AAl_11_2.txt,B1,Noun number
82,2014_AAl_11_2.txt,B1,Prepositions
83,2014_AAl_11_2.txt,B1,Choice of lexical item
84,2014_AAl_11_2.txt,B1,Articles
85,2014_AAl_11_2.txt,B1,Voice
86,2014_AAl_11_2.txt,B1,Spelling
87,2014_AAl_11_2.txt,B1,Articles
88,2014_AAl_11_2.txt,B1,Punctuation
89,2014_AAl_11_2.txt,B1,Prepositions
90,2014_AAl_11_2.txt,B1,Articles
91,2014_AAl_11_2.txt,B1,Voice
92,2014_AAl_11_2.txt,B1,Word choice
93,2014_AAl_11_2.txt,B1,Modals
94,2014_AAl_11_2.txt,B1,Articles
95,2014_AAl_11_2.txt,B1,Choice of tense
96,2014_AAl_11_2.txt,B1,Verb pattern
97,2014_AAl_11_2.txt,B1,Conjunctions
98,2014_AAl_12_2.txt,B1,Spelling
99,2014_AAl_12_2.txt,B1,Noun number
100,2014_AAl_12_2.txt,B1,Articles
101,2014_AAl_12_2.txt,B1,Spelling
102,2014_AAl_12_2.txt,B1,Articles
103,2014_AAl_12_2.txt,B1,Punctuation
104,2014_AAl_12_2.txt,B1,Spelling
105,2014_AAl_12_2.txt,B1,Articles
106,2014_AAl_12_2.txt,B1,Articles
107,2014_AAl_12_2.txt,B1,Choice of lexical item
108,2014_AAl_12_2.txt,B1,Referential device
109,2014_AAl_12_2.txt,B1,Spelling
110,2014_AAl_12_2.txt,B1,Referential device
111,2014_AAl_12_2.txt,B1,Linking device
112,2014_AAl_12_2.txt,B1,Spelling
113,2014_AAl_12_2.txt,B1,Spelling
114,2014_AAl_12_2.txt,B1,Spelling
115,2014_AAl_12_2.txt,B1,Spelling
116,2014_AAl_12_2.txt,B1,Spelling
117,2014_AAl_12_2.txt,B1,Absence of necessary explanation or detail
118,2014_AAl_12_2.txt,B1,Spelling
119,2014_AAl_12_2.txt,B1,Absence of necessary explanation or detail
120,2014_AAl_12_2.txt,B1,Spelling
121,2014_AAl_12_2.txt,B1,Spelling
122,2014_AAl_12_2.txt,B1,Spelling
123,2014_AAl_12_2.txt,B1,Agreement
124,2014_AAl_12_2.txt,B1,Tense form
125,2014_AAl_12_2.txt,B1,Absence of necessary explanation or detail
126,2014_AAl_12_2.txt,B1,Punctuation
127,2014_AAl_12_2.txt,B1,Redundant component in clause or sentence
128,2014_AAl_12_2.txt,B1,Spelling
129,2014_AAl_12_2.txt,B1,Articles
130,2014_AAl_12_2.txt,B1,Choice of lexical item
131,2014_AAl_12_2.txt,B1,Verb pattern
132,2014_AAl_12_2.txt,B1,Articles
133,2014_AAl_12_2.txt,B1,Articles
134,2014_AAl_12_2.txt,B1,Choice of lexical item
135,2014_AAl_12_2.txt,B1,Spelling
136,2014_AAl_12_2.txt,B1,Spelling
137,2014_AAl_12_2.txt,B1,Derivational affixes
138,2014_AAl_12_2.txt,B1,Derivation
139,2014_AAl_12_2.txt,B1,Spelling
140,2014_AAl_12_2.txt,B1,Choice of lexical item
141,2014_AAl_12_2.txt,B1,Redundant component in clause or sentence
142,2014_AAl_12_2.txt,B1,Word choice
143,2014_AAl_12_2.txt,B1,Derivation
144,2014_AAl_12_2.txt,B1,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ
145,2014_AAl_12_2.txt,B1,Punctuation
146,2014_AAl_12_2.txt,B1,Noun number
147,2014_AAl_12_2.txt,B1,Spelling
148,2014_AAl_12_2.txt,B1,Spelling
149,2014_AAl_13_2.txt,C1,Spelling
150,2014_AAl_13_2.txt,C1,Spelling
151,2014_AAl_13_2.txt,C1,Word choice
152,2014_AAl_13_2.txt,C1,Choice of lexical item
153,2014_AAl_13_2.txt,C1,Articles
154,2014_AAl_13_2.txt,C1,Absence of a component in clause or sentence
155,2014_AAl_13_2.txt,C1,Noun number
156,2014_AAl_13_2.txt,C1,Spelling
157,2014_AAl_13_2.txt,C1,Noun number
158,2014_AAl_13_2.txt,C1,Punctuation
159,2014_AAl_13_2.txt,C1,Derivational affixes
169,2014_AAl_14_2.txt,B1+,Noun number
170,2014_AAl_14_2.txt,B1+,Spelling
171,2014_AAl_14_2.txt,B1+,"Change, addition, deletion of a part of collocation"
172,2014_AAl_14_2.txt,B1+,Spelling
173,2014_AAl_14_2.txt,B1+,Spelling
174,2014_AAl_14_2.txt,B1+,Prepositions
175,2014_AAl_14_2.txt,B1+,Spelling
176,2014_AAl_14_2.txt,B1+,Referential device
177,2014_AAl_14_2.txt,B1+,Noun number
178,2014_AAl_14_2.txt,B1+,Noun number
179,2014_AAl_14_2.txt,B1+,Noun number
180,2014_AAl_14_2.txt,B1+,Spelling
181,2014_AAl_14_2.txt,B1+,Noun number
182,2014_AAl_14_2.txt,B1+,Redundant component in clause or sentence
183,2014_AAl_14_2.txt,B1+,Noun number
184,2014_AAl_14_2.txt,B1+,Noun number
185,2014_AAl_14_2.txt,B1+,Redundant component in clause or sentence
223,2014_AAl_15_2.txt,B1+,Derivational affixes
224,2014_AAl_15_2.txt,B1+,Spelling
225,2014_AAl_15_2.txt,B1+,Spelling
226,2014_AAl_15_2.txt,B1+,Prepositions
227,2014_AAl_15_2.txt,B1+,Spelling
228,2014_AAl_15_2.txt,B1+,Noun number
229,2014_AAl_15_2.txt,B1+,Articles
230,2014_AAl_15_2.txt,B1+,Choice of lexical item
231,2014_AAl_15_2.txt,B1+,Articles
232,2014_AAl_15_2.txt,B1+,Tense form
233,2014_AAl_15_2.txt,B1+,Choice of lexical item
234,2014_AAl_15_2.txt,B1+,Choice of lexical item
235,2014_AAl_15_2.txt,B1+,Spelling
236,2014_AAl_15_2.txt,B1+,Choice of lexical item
237,2014_AAl_15_2.txt,B1+,Modals
269,2014_AAl_16_2.txt,B2+,Spelling
270,2014_AAl_16_2.txt,B2+,Spelling
271,2014_AAl_16_2.txt,B2+,Spelling
272,2014_AAl_16_2.txt,B2+,Spelling
273,2014_AAl_16_2.txt,B2+,Spelling
274,2014_AAl_16_2.txt,B2+,Voice
275,2014_AAl_16_2.txt,B2+,Referential device
276,2014_AAl_16_2.txt,B2+,Prepositional noun
277,2014_AAl_16_2.txt,B2+,Spelling
278,2014_AAl_16_2.txt,B2+,Word choice
279,2014_AAl_16_2.txt,B2+,Noun number
293,2014_AAl_17_2.txt,B1+,Noun number
294,2014_AAl_17_2.txt,B1+,Redundant component in clause or sentence
